Implementation;K;N;M;T;max_iterations;Flops;Cylces;Iterations;Performance;Memory (aprox.)(bytes);Benchmark time(s)
scalar-blocking;16;16;16;64;500;2481440;770750473.200000;0;1.609756;2549792;6.492980
other-unroll;16;16;16;64;500;2481440;487002928.000000;0;2.547664;2549792;4.103548
vector_optimized;16;16;16;64;500;2481440;626691249.750000;0;1.979795;2549792;5.279959
combined;16;16;16;64;500;2481440;373228980.150000;0;3.324286;2549792;3.145910
Baseline;16;16;16;128;500;4973856;3355709614.300000;0;0.741103;5056544;28.273030
jc-reordered;16;16;16;128;500;4973856;2770037864.900000;0;0.897796;5056544;23.322579
scalar-reorder;16;16;16;128;500;4973856;2721649849.900000;0;0.913758;5056544;22.918109
scalar-blocking;16;16;16;128;500;4973856;1672865954.200000;0;1.486627;5056544;14.100467
other-unroll;16;16;16;128;500;4973856;1069942253.800000;0;2.324357;5056544;9.018502
vector_optimized;16;16;16;128;500;4973856;1336111914.700000;0;1.861317;5056544;11.255344
combined;16;16;16;128;500;4973856;828593437.300000;0;3.001385;5056544;6.987508
Baseline;16;16;16;192;500;7466272;6180598628.100000;0;0.604009;7563296;52.035229
jc-reordered;16;16;16;192;500;7466272;4741945446.550000;0;0.787258;7563296;40.065617
scalar-reorder;16;16;16;192;500;7466272;5078622909.000000;0;0.735069;7563296;42.786443
scalar-blocking;16;16;16;192;500;7466272;3111313956.000000;0;1.199858;7563296;26.246289
other-unroll;16;16;16;192;500;7466272;2113808301.350000;0;1.766071;7563296;17.813670
vector_optimized;16;16;16;192;500;7466272;2383145781.250000;0;1.566474;7563296;20.076733
combined;16;16;16;192;500;7466272;1782537343.000000;0;2.094282;7563296;15.020491
Baseline;16;32;16;32;500;4788272;2702303584.500000;469;0.885961;4747424;22.758996
jc-reordered;16;32;16;32;500;4788272;2146684862.400000;469;1.115271;4747424;18.081432
scalar-reorder;16;32;16;32;500;4788272;2023295271.100000;469;1.183286;4747424;17.042690
scalar-blocking;16;32;16;32;500;4788272;1189810066.850000;469;2.012200;4747424;10.025829
other-unroll;16;32;16;32;500;4788272;771696793.900000;469;3.102431;4747424;6.505828
vector_optimized;16;32;16;32;500;4788272;1180371378.600000;469;2.028290;4747424;9.946553
combined;16;32;16;32;500;4788272;658713407.450000;469;3.634564;4747424;5.556365
Baseline;16;48;16;32;500;10660160;5653891140.300000;357;0.942728;10365216;47.606870
jc-reordered;16;48;16;32;500;10660160;4307577412.600000;357;1.237373;10365216;36.274239
scalar-reorder;16;48;16;32;500;10660160;4380264146.550000;357;1.216840;10365216;36.887216
scalar-blocking;16;48;16;32;500;10660160;3068397507.500000;357;1.737089;10365216;25.844127
other-unroll;16;48;16;32;500;10660160;2519238084.000000;357;2.115751;10365216;21.219050
vector_optimized;16;48;16;32;500;10660160;2759522929.900000;357;1.931522;10365216;23.241864
combined;16;48;16;32;500;10660160;2251942090.650000;357;2.366881;10365216;18.968537
Baseline;16;64;16;32;500;18850896;11634828132.799999;203;0.810106;18149792;97.958655
jc-reordered;16;64;16;32;500;18850896;8852137408.700001;203;1.064765;18149792;74.535517
scalar-reorder;16;64;16;32;500;18850896;9364244931.100000;203;1.006536;18149792;78.845909
scalar-blocking;16;64;16;32;500;18850896;7191476356.700000;203;1.310642;18149792;60.554901
other-unroll;16;64;16;32;500;18850896;5228871833.650000;203;1.802578;18149792;44.032622
vector_optimized;16;64;16;32;500;18850896;6064287723.950000;203;1.554255;18149792;51.067789
combined;16;64;16;32;500;18850896;4905024478.250000;203;1.921590;18149792;41.306892
Baseline;32;32;32;32;500;9608256;6788851415.850000;0;0.707650;9482400;57.163062
jc-reordered;32;32;32;32;500;9608256;5561507418.300000;0;0.863818;9482400;46.814995
scalar-reorder;32;32;32;32;500;9608256;5598567857.400000;0;0.858099;9482400;47.146559
scalar-blocking;32;32;32;32;500;9608256;3659190974.600000;0;1.312893;9482400;30.827219
other-unroll;32;32;32;32;500;9608256;2361339596.300000;0;2.034493;9482400;19.896646
vector_optimized;32;32;32;32;500;9608256;3418094340.100000;0;1.405499;9482400;28.786927
combined;32;32;32;32;500;9608256;2149494909.250000;0;2.235003;9482400;18.115712
